Ticker,Name,,,
FSR SJ Equity,FirstRand Ltd,,,
ACL SJ Equity,ArcelorMittal South Africa Ltd,,,
MTN SJ Equity,MTN Group Ltd,,,
OML SJ Equity,Old Mutual PLC,,,
SAB SJ Equity,Abi Sab Group Holding Ltd,,,
ITU SJ Equity,Intu Properties PLC,,,
EXX SJ Equity,Exxaro Resources Ltd,,,
REM SJ Equity,Remgro Ltd,,,
HAR SJ Equity,Harmony Gold Mining Co Ltd,,,
SAP SJ Equity,Sappi Ltd,,,
SOL SJ Equity,Sasol Ltd,,,
TBS SJ Equity,Tiger Brands Ltd,,,
KIO SJ Equity,Kumba Iron Ore Ltd,,,
CFR SJ Equity,Cie Financiere Richemont SA,,,
BIL SJ Equity,BHP Billiton PLC,,,
IPL SJ Equity,Imperial Holdings Ltd,,,
RMH SJ Equity,RMB Holdings Ltd,,,
ANG SJ Equity,AngloGold Ashanti Ltd,,,
BGA SJ Equity,Barclays Africa Group Ltd,,,
INL SJ Equity,Investec Ltd,,,
PIK SJ Equity,Pick n Pay Stores Ltd,,,
PPC SJ Equity,PPC Ltd,,,
BVT SJ Equity,Bidvest Group Ltd/The,,,
SBK SJ Equity,Standard Bank Group Ltd,,,
LGL SJ Equity,Liberty Group Ltd,,,
NED SJ Equity,Nedbank Group Ltd,,,
AGL SJ Equity,Anglo American PLC,,,
ECO SJ Equity,Edgars Consolidated Stores Ltd,,,
IMP SJ Equity,Impala Platinum Holdings Ltd,,,
LON SJ Equity,Lonmin PLC,,,
NPN SJ Equity,Naspers Ltd,,,
SNH SJ Equity,Steinhoff International Holdings NV,,,
SLM SJ Equity,Sanlam Ltd,,,
AMS SJ Equity,Anglo American Platinum Ltd,,,
AXL SJ Equity,African Phoenix Investments Ltd,,,
RLO SJ Equity,Reunert Ltd,,,
NTC SJ Equity,Netcare Ltd,,,
TKG SJ Equity,Telkom SA SOC Ltd,,,
BAW SJ Equity,Barloworld Ltd,,,
INP SJ Equity,Investec PLC,,,
GFI SJ Equity,Gold Fields Ltd,,,
WHL SJ Equity,Woolworths Holdings Ltd/South Africa,,,
FFA SJ Equity,Fortress REIT Ltd,,,
GRT SJ Equity,Growthpoint Properties Ltd,,,
NRP SJ Equity,NEPI Rockcastle PLC,,,
MND SJ Equity,Mondi Ltd,,,
RDF SJ Equity,Redefine Properties Ltd,,,
CPI SJ Equity,Capitec Bank Holdings Ltd,,,
FFB SJ Equity,Fortress REIT Ltd,,,
TRU SJ Equity,Truworths International Ltd,,,
MEI SJ Equity,Mediclinic International PLC,,,
SPP SJ Equity,SPAR Group Ltd/The,,,
TFG SJ Equity,Foschini Group Ltd/The,,,
APN SJ Equity,Aspen Pharmacare Holdings Ltd,,,
RNI SJ Equity,Reinet Investments SCA,,,
RES SJ Equity,Resilient REIT Ltd,,,
SHP SJ Equity,Shoprite Holdings Ltd,,,
MRP SJ Equity,Mr Price Group Ltd,,,
MNP SJ Equity,Mondi PLC,,,
LHC SJ Equity,Life Healthcare Group Holdings Ltd,,,
VOD SJ Equity,Vodacom Group Ltd,,,
BID SJ Equity,Bid Corp Ltd,,,
DSY SJ Equity,Discovery Ltd,,,
BTI SJ Equity,British American Tobacco PLC,,,
JDG SJ Equity,JD Group Ltd/South Africa,,,
NPK SJ Equity,Nampak Ltd,,,
VNF SJ Equity,VenFin Pty Ltd,,,
MSM SJ Equity,Massmart Holdings Ltd,,,
ARI SJ Equity,African Rainbow Minerals Ltd,,,
ASR SJ Equity,Assore Ltd,,,
REI SJ Equity,Reinet Investments SCA,,,
BAT SJ Equity,Brait SE,,,
ABI SJ Equity,Amalgamated Beverage Industries Ltd,,,
DDT SJ Equity,Dimension Data Holdings PLC,,,
AOD SJ Equity,African Rainbow Minerals Gold Ltd,,,
JNC SJ Equity,Johnnic Holdings Ltd,,,
0861674D SJ Equity,Alexander Forbes Ltd,,,
DRD SJ Equity,DRDGOLD Ltd,,,
CRH SJ Equity,Coronation Holdings Ltd,,,
CRN SJ Equity,Coronation Holdings Ltd,,,
AVG SJ Equity,Avgold Ltd,,,
MUR SJ Equity,Murray & Roberts Holdings Ltd,,,
AEG SJ Equity,Aveng Ltd,,,
LBH SJ Equity,Liberty Holdings Ltd,,,
MDC SJ Equity,Mediclinic International Ltd,,,
CCO SJ Equity,Capital & Counties Properties PLC,,,
RMI SJ Equity,Rand Merchant Investment Holdings Ltd,,,
PSG SJ Equity,PSG Group Ltd,,,
OMU SJ Equity,Old Mutual Ltd,,,
CLS SJ Equity,Clicks Group Ltd,,,
MMI SJ Equity,MMI Holdings Ltd/South Africa,,,
